time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-10T07:04:12.420Z,33.8348333,-119.7223333,14.31,2.7,ml,46,128,0.1758,0.19,ci,ci37912175,2018-04-11T13:59:17.265Z,"29km SW of Santa Cruz Is. (E end), CA",earthquake,0.27,0.54,0.233,25,reviewed,ci,ci
2018-04-10T06:51:56.230Z,40.6581667,-123.714,26.29,2.58,md,41,45,0.2089,0.11,nc,nc72997601,2018-04-19T05:05:03.488Z,"32km SSW of Willow Creek, CA",earthquake,0.25,0.85,0.187,40,reviewed,nc,nc
2018-04-09T21:26:40.220Z,36.717,-99.3986,5,2.7,mb_lg,,149,0.464,0.22,us,us2000dx52,2018-04-10T05:29:24.113Z,"24km ESE of Buffalo, Oklahoma",earthquake,1.6,1.9,0.073,49,reviewed,us,us
2018-04-09T16:56:20.800Z,37.356,-118.4066667,8.09,2.73,ml,43,75,0.06239,0.07,nc,nc72997341,2018-04-11T22:34:21.417Z,"2km SW of Bishop, CA",earthquake,0.25,0.59,0.181,6,reviewed,nc,nc
2018-04-09T14:04:43.300Z,36.2116,-97.5555,4.927,2.9,ml,,23,,0.13,us,us2000dwwr,2018-04-17T14:08:27.822Z,"25km WSW of Perry, Oklahoma",earthquake,1.2,3.8,,,reviewed,tul,tul
2018-04-09T10:22:20.050Z,36.2165,-97.582,3.89,4.5,mwr,,36,0.124,0.17,us,us2000dwui,2018-04-17T05:20:32.371Z,"27km WSW of Perry, Oklahoma",earthquake,0.6,3,0.028,125,reviewed,us,us
2018-04-09T09:33:46.980Z,41.3485,-100.1019,5,3.3,mb_lg,,30,1.373,0.68,us,us2000dwt7,2018-04-10T19:44:22.705Z,"37km ESE of Stapleton, Nebraska",earthquake,2.6,2,0.043,139,reviewed,us,us
2018-04-09T09:26:31.070Z,36.2096,-97.5688,5.34,3.3,mb_lg,,122,0.647,0.15,us,us2000dwsz,2018-04-10T02:31:41.766Z,"26km WSW of Perry, Oklahoma",earthquake,1.9,5.7,0.047,120,reviewed,us,us
2018-04-09T07:31:59.520Z,34.2433333,-117.458,11.64,3.23,ml,223,14,0.0223,0.21,ci,ci37911423,2018-04-14T14:22:53.731Z,"4km ESE of Lytle Creek, CA",earthquake,0.1,0.22,0.121,337,reviewed,ci,ci
2018-04-09T03:52:40.850Z,36.5661667,-121.1536667,3.92,3.3,ml,69,74,0.02614,0.08,nc,nc72997156,2018-04-15T08:32:44.251Z,"4km NNW of Pinnacles, CA",earthquake,0.13,0.26,0.189,32,reviewed,nc,nc
2018-04-09T02:37:45.740Z,30.7584,-103.6691,5,2.7,ml,,118,0.337,0.69,us,us2000dwqe,2018-04-10T02:32:40.040Z,"28km NE of Fort Davis, Texas",earthquake,1.8,1.9,0.128,20,reviewed,us,us
2018-04-09T02:37:17.660Z,37.3236667,-113.9741667,6.88,2.75,ml,16,84,0.1665,0.13,uu,uu60276882,2018-04-10T02:27:24.040Z,"31km WNW of Ivins, Utah",earthquake,0.42,0.75,0.259,6,reviewed,uu,uu
2018-04-08T22:26:24.320Z,36.2975,-97.5332,5,3.2,mb_lg,,41,0.21,0.2,us,us2000dwn4,2018-04-09T12:59:18.125Z,"22km W of Perry, Oklahoma",earthquake,0.6,1.9,0.045,130,reviewed,us,us
2018-04-08T20:20:24.700Z,36.2896,-97.5201,5.12,2.6,mb_lg,,25,0.211,0.11,us,us2000dwky,2018-04-08T20:43:11.040Z,"20km W of Perry, Oklahoma",earthquake,1,1,0.084,37,reviewed,us,us
2018-04-08T16:48:27.170Z,39.4848333,-123.1155,3.67,2.84,md,35,38,0.09433,0.08,nc,nc72997031,2018-04-13T01:10:38.110Z,"16km WNW of Lake Pillsbury, CA",earthquake,0.13,0.67,0.213,62,reviewed,nc,nc
2018-04-08T12:24:56.690Z,37.2012,-97.7722,6.41,2.5,ml,,100,0.049,0.25,us,us2000dwf8,2018-04-15T05:57:20.040Z,"23km ENE of Anthony, Kansas",earthquake,1.1,1.8,0.178,18,reviewed,ismp,ismp
2018-04-08T11:36:16.322Z,39.3322,-119.9574,9.4,2.6,ml,43,21.56,0.073,0.1893,nn,nn00629667,2018-04-15T05:45:13.040Z,"9km N of Incline Village, Nevada",earthquake,,0.8,0.18,13,reviewed,nn,nn
2018-04-08T11:22:53.310Z,33.8525,-119.7351667,14.97,2.6,ml,47,128,0.1651,0.22,ci,ci37910879,2018-04-09T22:01:15.608Z,"28km SW of Santa Cruz Is. (E end), CA",earthquake,0.33,0.57,0.209,25,reviewed,ci,ci
2018-04-08T07:25:32.870Z,37.1975,-97.774,4.51,3.3,mb_lg,,76,0.045,0.09,us,us2000dwcj,2018-04-10T01:16:32.003Z,"23km ENE of Anthony, Kansas",earthquake,1.7,2.5,0.044,135,reviewed,us,us
2018-04-08T03:32:28.370Z,36.2949,-97.5204,5.52,2.5,mb_lg,,63,0.215,0.16,us,us2000dx6b,2018-04-09T22:42:53.040Z,"20km W of Perry, Oklahoma",earthquake,0.8,6.2,0.088,34,reviewed,us,us
2018-04-08T02:37:41.389Z,40.7885,-115.9622,1.1,3,ml,12,138.76,0.315,0.1507,nn,nn00629607,2018-04-16T04:17:57.040Z,"14km NE of Carlin, Nevada",earthquake,,4.7,0.33,9,reviewed,nn,nn
2018-04-07T20:05:21.740Z,30.752,-103.5954,16.49,2.7,ml,,86,0.286,0.68,us,us2000dw58,2018-04-07T20:22:03.040Z,"33km ENE of Fort Davis, Texas",earthquake,3.8,8.4,0.128,22,reviewed,us,us
